,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,oussouye,12.48,-16.55,93.2,74,12,6.93,SN,1590600094
162,eureka,40.8,-124.16,57.99,51,66,7.36,US,1590600094
163,pekan,3.48,103.4,82.4,83,20,3.36,MY,1590599882
164,kutahya,39.42,29.98,53.6,87,75,10.29,TR,1590600095
165,hailey,43.52,-114.32,68.0,55,5,9.17,US,1590600096
166,bontang,0.13,117.5,82.02,79,93,3.42,ID,1590600096
167,bousso,10.48,16.71,98.56,24,77,4.74,TD,1590600097
168,taoudenni,22.68,-3.98,107.94,7,0,8.57,ML,1590600097
169,pangnirtung,66.15,-65.71,30.2,74,90,13.87,CA,1590600098
170,lompoc,34.64,-120.46,73.99,77,1,6.93,US,1590600098
171,ayagoz,47.97,80.44,50.67,59,0,19.57,KZ,1590600099
172,bolshaya glushitsa,50.24,43.59,64.0,67,40,1.01,RU,1590600100
173,castro,-24.79,-50.01,65.75,43,0,3.69,BR,1590600100
174,lagoa,39.05,-27.98,61.86,80,4,18.41,PT,1590600101
175,hofn,64.25,-15.21,48.2,81,75,26.4,IS,1590600101
176,vestmannaeyjar,63.44,-20.27,46.4,87,75,20.8,IS,1590600102
177,mahebourg,-20.41,57.7,75.2,83,40,12.75,MU,1590600102
178,arraial do cabo,-22.97,-42.03,75.2,64,40,24.16,BR,1590600103
179,college,64.86,-147.8,51.8,62,75,3.36,US,1590600103
180,bosanska krupa,44.88,16.15,59.32,83,29,3.49,BA,1590599885
181,egvekinot,66.32,-179.17,32.86,100,100,4.85,RU,1590600104
182,cocorit,27.58,-109.97,86.0,40,5,9.17,MX,1590600105
183,pita,10.83,-12.58,82.47,70,98,1.68,GN,1590600003
184,rawson,-43.3,-65.1,57.67,37,93,20.71,AR,1590600094
185,sitka,57.05,-135.33,48.2,70,1,5.82,US,1590600106
186,kasangulu,-4.59,15.17,79.25,76,68,3.4,CD,1590600107
187,rocha,-34.48,-54.33,64.38,53,0,4.23,UY,1590600054
188,pulandian,39.4,121.97,57.99,100,1,2.24,CN,1590599968
189,westport,41.14,-73.36,77.0,77,1,3.36,US,1590600108
190,avera,33.19,-82.53,75.2,94,90,12.75,US,1590600109
191,leningradskiy,69.38,178.42,33.58,89,97,4.88,RU,1590600109
192,northam,51.03,-4.22,70.0,64,29,4.0,GB,1590600110
193,kodiak,57.79,-152.41,46.4,75,90,3.36,US,1590600110
